Province,TPT_Feb2024,TPT_Aug2024,TPT_Feb2025,TPT_Aug2025,LFPR_Feb2024,LFPR_Aug2024,LFPR_Feb2025,LFPR_Aug2025
Aceh,5.56,5.75,5.50,5.64,64.15,65.11,65.63,65.32
Sumatera Utara,5.10,5.60,5.05,5.32,70.30,71.36,70.13,72.29
Sumatera Barat,5.79,5.75,5.69,5.62,70.44,70.28,70.95,71.34
Riau,3.85,3.70,4.12,4.16,65.75,66.33,64.68,66.55
Jambi,4.45,4.48,4.48,4.26,67.09,68.87,67.11,68.37
Sumatera Selatan,3.97,3.86,3.89,3.69,69.75,70.82,70.56,69.88
Bengkulu,3.17,3.11,3.24,3.41,70.92,71.71,71.50,71.78
Lampung,4.12,4.19,4.07,4.21,71.51,70.41,71.16,70.44
Kepulauan Bangka Belitung,3.85,4.63,4.17,4.45,70.66,68.87,67.67,69.38
Kepulauan Riau,6.94,6.39,6.89,6.45,67.14,69.17,66.84,68.23
DKI Jakarta,6.03,6.21,6.18,6.05,65.17,65.10,65.40,64.75
Jawa Barat,6.91,6.75,6.74,6.77,67.34,67.71,68.91,66.99
Jawa Tengah,4.39,4.78,4.33,4.66,72.22,73.74,73.17,74.36
DI Yogyakarta,3.24,3.48,3.18,3.46,73.18,74.78,73.73,74.74
Jawa Timur,3.74,4.19,3.61,3.88,73.02,73.45,74.25,73.98
Banten,7.02,6.68,6.64,6.69,64.95,66.17,65.82,64.66
Bali,1.87,1.79,1.58,1.49,77.37,77.11,77.40,77.31
Nusa Tenggara Barat,3.30,2.73,3.22,3.06,73.97,77.23,76.50,76.11
Nusa Tenggara Timur,3.17,3.02,3.23,3.31,76.77,77.50,75.81,75.55
Kalimantan Barat,4.20,4.86,4.23,4.82,67.82,70.44,67.64,70.90
Kalimantan Tengah,3.67,4.01,3.47,3.97,67.83,68.71,69.90,68.40
Kalimantan Selatan,3.89,4.20,3.94,4.16,69.55,70.22,70.41,69.93
Kalimantan Timur,5.75,5.14,5.33,5.18,66.31,67.07,66.40,66.58
Kalimantan Utara,4.01,3.90,3.90,3.85,64.52,70.35,69.19,69.55
Sulawesi Utara,5.98,5.85,6.03,5.99,63.98,66.07,65.30,67.21
Sulawesi Tengah,3.15,2.94,3.02,2.92,68.53,71.10,70.51,72.40
Sulawesi Selatan,4.90,4.19,4.96,4.21,65.41,67.38,65.99,67.65
Sulawesi Tenggara,3.22,3.09,3.27,3.31,69.64,72.81,69.77,71.67
Gorontalo,3.05,3.13,3.12,3.42,70.48,69.95,67.52,69.29
Sulawesi Barat,3.01,2.68,3.17,2.86,71.63,71.40,71.81,74.25
Maluku,5.96,6.11,5.95,6.27,65.75,66.52,67.56,66.66
Maluku Utara,4.16,4.03,4.26,4.55,67.88,69.13,68.99,69.57
Papua Barat,4.31,4.13,4.21,4.55,75.10,71.25,71.45,69.55
Papua Barat Daya,6.02,6.48,6.61,6.85,67.45,67.81,68.14,68.10
Papua,5.81,6.48,6.92,6.96,71.50,68.40,70.38,63.98
Papua Selatan,4.75,4.05,4.90,4.04,67.32,71.67,68.15,67.37
Papua Tengah,2.49,2.75,3.55,3.62,76.99,73.13,78.97,73.89
Papua Pegunungan,1.18,1.32,1.68,1.68,87.53,88.22,88.27,90.66
Indonesia,4.82,4.91,4.76,4.85,69.80,70.63,70.60,70.59
