Country,Projects_2023,Projects_2024,Projects_2025,Investment_2023_mUSD,Investment_2024_mUSD,Investment_2025_mUSD
USA,2130,3108,3997,3283.1,3696.8,2974.4
Canada,396,693,1024,357.8,492.7,616.4
Netherlands,2714,3517,4434,1258.3,1977.1,1102.5
Japan,6155,7476,9155,4639.5,3463.9,3128.6
China,6833,15041,35189,7438.4,8106.9,7506.8
South_Korea,5895,5649,9132,2543.6,2987.7,1984.0
Hong_Kong,3597,8896,8761,6504.8,8216.5,10646.4
Singapore,14894,19886,25556,15355.2,20075.2,17407.1
India,1457,2210,3769,275.4,173.1,237.6
Australia,2522,4355,6313,545.2,739.1,719.0
Total,70898,105636,157663,50267.5,60014.0,56303.2
